login,alloc_type,experiment,time
manakov_d_d,T*,110,5.03381e-05
manakov_d_d,T*,110,5.70999e-05
manakov_d_d,T*,110,4.95868e-05
manakov_d_d,T*,110,4.88355e-05
manakov_d_d,T*,210,0.000234208
manakov_d_d,T*,210,0.000213908
manakov_d_d,T*,210,0.000206565
manakov_d_d,T*,210,0.000204298
manakov_d_d,T*,210,0.000219847
manakov_d_d,T*,210,0.000223518
manakov_d_d,T*,210,0.000203218
manakov_d_d,T*,210,0.000200302
manakov_d_d,T*,210,0.000204298
manakov_d_d,T*,210,0.000199978
manakov_d_d,T*,210,0.000199978
manakov_d_d,T*,210,0.000198467
manakov_d_d,T*,210,0.000201922
manakov_d_d,T*,210,0.000202246
manakov_d_d,T*,210,0.00020095
manakov_d_d,T*,310,6.47847e-05
manakov_d_d,T*,310,6.48854e-05
manakov_d_d,T*,310,6.22671e-05
manakov_d_d,T*,310,6.28378e-05
manakov_d_d,T*,310,6.38112e-05
manakov_d_d,T*,310,6.94169e-05
manakov_d_d,T*,310,6.19315e-05
manakov_d_d,T*,310,6.26028e-05
manakov_d_d,T*,310,6.15622e-05
manakov_d_d,T*,310,6.23678e-05
manakov_d_d,T*,310,6.23343e-05
manakov_d_d,T*,310,6.22671e-05
manakov_d_d,T*,310,6.35762e-05
manakov_d_d,T*,310,6.26028e-05
manakov_d_d,T*,310,6.25021e-05
manakov_d_d,T*,410,2.86415e-05
manakov_d_d,T*,410,2.71906e-05
manakov_d_d,T*,410,2.73211e-05
manakov_d_d,T*,410,2.69004e-05
manakov_d_d,T*,410,2.75533e-05
manakov_d_d,T*,410,2.75968e-05
manakov_d_d,T*,410,2.91928e-05
manakov_d_d,T*,410,2.71325e-05
manakov_d_d,T*,410,2.72921e-05
manakov_d_d,T*,410,2.71325e-05
manakov_d_d,T*,410,2.70455e-05
manakov_d_d,T*,410,2.73066e-05
manakov_d_d,T*,410,2.73502e-05
manakov_d_d,T*,410,2.7118e-05
manakov_d_d,T*,410,2.68713e-05
manakov_d_d,T*,510,1.44891e-05
manakov_d_d,T*,510,1.41951e-05
manakov_d_d,T*,510,1.39841e-05
manakov_d_d,T*,510,1.49339e-05
manakov_d_d,T*,510,1.44967e-05
manakov_d_d,T*,510,1.41198e-05
manakov_d_d,T*,510,1.42479e-05
manakov_d_d,T*,510,1.51827e-05
manakov_d_d,T*,510,1.41951e-05
manakov_d_d,T*,510,1.38559e-05
manakov_d_d,T*,510,1.41047e-05
manakov_d_d,T*,510,1.42102e-05
manakov_d_d,T*,510,1.42404e-05
manakov_d_d,T*,510,1.39011e-05
manakov_d_d,T*,510,1.39087e-05
manakov_d_d,T*,610,1.02784e-05
manakov_d_d,T*,610,9.6616e-06
manakov_d_d,T*,610,9.44572e-06
manakov_d_d,T*,610,9.35761e-06
manakov_d_d,T*,610,9.39726e-06
manakov_d_d,T*,610,1.00317e-05
manakov_d_d,T*,610,9.40607e-06
manakov_d_d,T*,610,9.43691e-06
manakov_d_d,T*,610,9.38405e-06
manakov_d_d,T*,610,9.33558e-06
manakov_d_d,T*,610,9.41488e-06
manakov_d_d,T*,610,9.37083e-06
manakov_d_d,T*,610,9.48978e-06
manakov_d_d,T*,610,9.45454e-06
manakov_d_d,T*,610,9.53384e-06
manakov_d_d,T*,710,6.04061e-06
manakov_d_d,T*,710,6.46809e-06
manakov_d_d,T*,710,6.01546e-06
manakov_d_d,T*,710,5.94002e-06
manakov_d_d,T*,710,6.02384e-06
manakov_d_d,T*,710,7.21129e-06
manakov_d_d,T*,710,6.12163e-06
manakov_d_d,T*,710,5.88694e-06
manakov_d_d,T*,710,5.95679e-06
manakov_d_d,T*,710,5.98473e-06
manakov_d_d,T*,710,5.93723e-06
manakov_d_d,T*,710,5.88973e-06
manakov_d_d,T*,710,6.42338e-06
manakov_d_d,T*,710,5.93723e-06
manakov_d_d,T*,710,5.92326e-06
manakov_d_d,T*,810,4.10017e-06
manakov_d_d,T*,810,4.03243e-06
manakov_d_d,T*,810,3.99292e-06
manakov_d_d,T*,810,3.9948e-06
manakov_d_d,T*,810,3.9948e-06
manakov_d_d,T*,810,3.9741e-06
manakov_d_d,T*,810,4.02491e-06
manakov_d_d,T*,810,4.24694e-06
manakov_d_d,T*,810,3.91953e-06
manakov_d_d,T*,810,3.99668e-06
manakov_d_d,T*,810,3.9948e-06
manakov_d_d,T*,810,3.96093e-06
manakov_d_d,T*,810,3.98163e-06
manakov_d_d,T*,810,3.9948e-06
manakov_d_d,T*,810,3.97222e-06
manakov_d_d,T*,910,2.8345e-06
pavliuchenkov_d_m,T*,10,2.99
pavliuchenkov_d_m,T*,10,1.297
pavliuchenkov_d_m,T*,10,0.125
pavliuchenkov_d_m,T*,10,0.081
pavliuchenkov_d_m,T*,10,0.094
pavliuchenkov_d_m,T*,10,0.082
pavliuchenkov_d_m,T*,10,0.099
pavliuchenkov_d_m,T*,10,0.085
pavliuchenkov_d_m,T*,10,0.084
pavliuchenkov_d_m,T*,10,0.097
pavliuchenkov_d_m,T*,10,0.084
pavliuchenkov_d_m,T*,10,0.084
pavliuchenkov_d_m,T*,10,0.079
pavliuchenkov_d_m,T*,10,0.11
pavliuchenkov_d_m,T*,10,0.083
pavliuchenkov_d_m,T*,110,0.00251465
pavliuchenkov_d_m,T*,110,0.00180917
pavliuchenkov_d_m,T*,110,7.96394e-05
pavliuchenkov_d_m,T*,110,6.31104e-05
pavliuchenkov_d_m,T*,110,6.46131e-05
pavliuchenkov_d_m,T*,110,6.38618e-05
pavliuchenkov_d_m,T*,110,5.93539e-05
pavliuchenkov_d_m,T*,110,6.16078e-05
pavliuchenkov_d_m,T*,110,7.58828e-05
pavliuchenkov_d_m,T*,110,6.23591e-05
pavliuchenkov_d_m,T*,110,6.38618e-05
pavliuchenkov_d_m,T*,110,6.31104e-05
pavliuchenkov_d_m,T*,110,6.23591e-05
pavliuchenkov_d_m,T*,110,6.31104e-05
